open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
39.06,39.17,37.29,38.77,56055200.0,000960.SZ,20260528,锡业股份,NA,CNY
39.8,40.17,36.86,37.5,62641300.0,000960.SZ,20260529,锡业股份,NA,CNY
38.17,41.02,38.09,39.26,98220800.0,000960.SZ,20260601,锡业股份,NA,CNY
40.7,43.19,40.54,43.19,115772400.0,000960.SZ,20260602,锡业股份,NA,CNY
43.83,44.96,42.93,43.75,147566000.0,000960.SZ,20260603,锡业股份,NA,CNY
43.0,43.43,41.61,41.84,94277300.0,000960.SZ,20260604,锡业股份,NA,CNY
40.52,41.17,38.45,38.9,105606100.0,000960.SZ,20260605,锡业股份,NA,CNY
36.01,36.97,35.01,35.01,111894600.0,000960.SZ,20260608,锡业股份,NA,CNY
34.88,35.54,33.92,35.44,87352100.0,000960.SZ,20260609,锡业股份,NA,CNY
33.86,34.45,33.2,33.97,72166700.0,000960.SZ,20260610,锡业股份,NA,CNY
33.85,35.62,33.85,34.86,75636900.0,000960.SZ,20260611,锡业股份,NA,CNY
36.18,38.35,35.44,37.65,139076800.0,000960.SZ,20260612,锡业股份,NA,CNY
38.88,41.42,38.7,41.42,130486800.0,000960.SZ,20260615,锡业股份,NA,CNY
41.69,43.05,41.38,41.64,127422600.0,000960.SZ,20260616,锡业股份,NA,CNY
41.3,42.56,40.62,41.43,90990500.0,000960.SZ,20260617,锡业股份,NA,CNY
41.83,43.29,40.7,41.74,109481400.0,000960.SZ,20260618,锡业股份,NA,CNY
43.84,45.91,43.47,45.91,105165400.0,000960.SZ,20260622,锡业股份,NA,CNY
48.21,48.77,42.01,42.45,190675700.0,000960.SZ,20260623,锡业股份,NA,CNY
42.03,46.69,40.81,46.6,155979100.0,000960.SZ,20260624,锡业股份,NA,CNY
45.6,47.86,44.13,44.42,156082700.0,000960.SZ,20260625,锡业股份,NA,CNY
44.56,46.7,42.5,42.58,125672600.0,000960.SZ,20260626,锡业股份,NA,CNY
43.47,46.63,43.12,44.83,136776200.0,000960.SZ,20260629,锡业股份,NA,CNY
44.2,44.38,41.01,42.69,128657300.0,000960.SZ,20260630,锡业股份,NA,CNY
42.7,44.79,41.96,42.32,104343100.0,000960.SZ,20260701,锡业股份,NA,CNY
41.01,43.2,39.6,41.21,86446500.0,000960.SZ,20260702,锡业股份,NA,CNY
41.21,42.27,40.46,40.48,81663500.0,000960.SZ,20260703,锡业股份,NA,CNY
41.31,43.0,40.31,40.41,82105400.0,000960.SZ,20260706,锡业股份,NA,CNY
39.1,39.44,37.04,37.31,85931900.0,000960.SZ,20260707,锡业股份,NA,CNY
37.32,37.58,35.78,36.0,58105500.0,000960.SZ,20260708,锡业股份,NA,CNY
36.08,37.36,34.15,37.27,81161500.0,000960.SZ,20260709,锡业股份,NA,CNY
37.13,38.3,36.36,36.45,64754000.0,000960.SZ,20260710,锡业股份,NA,CNY
35.5,35.88,34.05,34.18,50999900.0,000960.SZ,20260713,锡业股份,NA,CNY
33.82,36.49,33.43,36.43,61210400.0,000960.SZ,20260714,锡业股份,NA,CNY
36.01,36.17,33.5,33.51,70465500.0,000960.SZ,20260715,锡业股份,NA,CNY
32.48,33.27,31.56,31.77,49539300.0,000960.SZ,20260716,锡业股份,NA,CNY
31.49,32.08,29.85,30.01,54219000.0,000960.SZ,20260717,锡业股份,NA,CNY
30.77,31.12,28.35,29.1,57877100.0,000960.SZ,20260720,锡业股份,NA,CNY
29.24,31.21,27.5,31.12,72189100.0,000960.SZ,20260721,锡业股份,NA,CNY
31.39,32.96,31.2,31.9,74921700.0,000960.SZ,20260722,锡业股份,NA,CNY
32.15,33.24,31.62,32.83,54827500.0,000960.SZ,20260723,锡业股份,NA,CNY
31.4,32.12,30.84,30.89,39404700.0,000960.SZ,20260724,锡业股份,NA,CNY
31.5,32.6,31.08,32.58,42903000.0,000960.SZ,20260727,锡业股份,NA,CNY
