open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
33.33,33.46,32.88,32.95,207009100.0,601899.SH,20260428,紫金矿业,NA,CNY
32.55,34.2,32.51,34.14,303499400.0,601899.SH,20260429,紫金矿业,NA,CNY
33.7,34.02,33.08,33.3,240389900.0,601899.SH,20260430,紫金矿业,NA,CNY
33.5,34.38,33.21,34.21,399072000.0,601899.SH,20260506,紫金矿业,NA,CNY
34.84,35.17,34.12,34.46,336041300.0,601899.SH,20260507,紫金矿业,NA,CNY
34.02,35.0,33.84,34.8,301248200.0,601899.SH,20260508,紫金矿业,NA,CNY
34.55,34.72,33.85,34.27,303709600.0,601899.SH,20260511,紫金矿业,NA,CNY
34.96,35.33,34.5,34.58,416946000.0,601899.SH,20260512,紫金矿业,NA,CNY
35.1,35.25,34.45,34.66,322480200.0,601899.SH,20260513,紫金矿业,NA,CNY
34.49,34.76,33.5,33.52,276948100.0,601899.SH,20260514,紫金矿业,NA,CNY
32.99,33.0,31.5,31.84,448282200.0,601899.SH,20260515,紫金矿业,NA,CNY
30.9,31.37,30.71,31.3,288798600.0,601899.SH,20260518,紫金矿业,NA,CNY
31.3,31.39,30.64,31.16,180860100.0,601899.SH,20260519,紫金矿业,NA,CNY
30.53,30.64,29.92,30.39,314489700.0,601899.SH,20260520,紫金矿业,NA,CNY
30.91,31.25,29.93,29.99,295615400.0,601899.SH,20260521,紫金矿业,NA,CNY
30.16,31.14,29.88,30.96,268103800.0,601899.SH,20260522,紫金矿业,NA,CNY
31.64,32.0,31.09,31.35,284046100.0,601899.SH,20260525,紫金矿业,NA,CNY
31.16,32.98,31.02,32.9,443721500.0,601899.SH,20260526,紫金矿业,NA,CNY
32.58,32.89,31.53,31.62,261696500.0,601899.SH,20260527,紫金矿业,NA,CNY
31.0,31.2,30.08,30.71,310990900.0,601899.SH,20260528,紫金矿业,NA,CNY
31.32,31.38,30.18,30.44,261024900.0,601899.SH,20260529,紫金矿业,NA,CNY
30.22,30.7,30.12,30.19,175162100.0,601899.SH,20260601,紫金矿业,NA,CNY
30.36,31.74,30.12,31.58,333321300.0,601899.SH,20260602,紫金矿业,NA,CNY
31.01,31.82,30.95,31.27,252980200.0,601899.SH,20260603,紫金矿业,NA,CNY
30.9,30.95,30.22,30.34,206216500.0,601899.SH,20260604,紫金矿业,NA,CNY
30.3,30.85,29.53,29.63,271621200.0,601899.SH,20260605,紫金矿业,NA,CNY
28.28,28.73,27.58,28.05,377532000.0,601899.SH,20260608,紫金矿业,NA,CNY
28.14,28.53,27.6,28.47,251316100.0,601899.SH,20260609,紫金矿业,NA,CNY
27.6,28.0,27.2,27.7,304408700.0,601899.SH,20260610,紫金矿业,NA,CNY
27.2,27.69,26.8,27.33,323143100.0,601899.SH,20260611,紫金矿业,NA,CNY
28.09,29.76,27.81,29.09,509853800.0,601899.SH,20260612,紫金矿业,NA,CNY
30.54,31.35,30.4,31.31,571475600.0,601899.SH,20260615,紫金矿业,NA,CNY
31.0,31.1,30.2,30.29,292271400.0,601899.SH,20260616,紫金矿业,NA,CNY
30.5,30.95,30.12,30.43,222981700.0,601899.SH,20260617,紫金矿业,NA,CNY
29.96,30.98,29.28,29.69,362067400.0,601899.SH,20260618,紫金矿业,NA,CNY
29.25,30.5,28.55,30.44,391847500.0,601899.SH,20260622,紫金矿业,NA,CNY
29.95,30.0,27.64,27.75,494740100.0,601899.SH,20260623,紫金矿业,NA,CNY
27.41,27.97,27.33,27.65,284609500.0,601899.SH,20260624,紫金矿业,NA,CNY
26.51,26.76,25.73,25.92,576069900.0,601899.SH,20260625,紫金矿业,NA,CNY
25.9,25.9,24.86,25.1,352820800.0,601899.SH,20260626,紫金矿业,NA,CNY
25.35,25.96,24.98,25.79,323292700.0,601899.SH,20260629,紫金矿业,NA,CNY
25.05,25.26,24.7,25.14,310705700.0,601899.SH,20260630,紫金矿业,NA,CNY
24.85,25.55,24.42,25.11,338908300.0,601899.SH,20260701,紫金矿业,NA,CNY
25.61,26.96,25.52,26.3,506741700.0,601899.SH,20260702,紫金矿业,NA,CNY
27.5,28.3,27.41,27.82,538651900.0,601899.SH,20260703,紫金矿业,NA,CNY
27.64,29.19,27.62,28.28,370091200.0,601899.SH,20260706,紫金矿业,NA,CNY
27.8,28.11,27.43,27.62,223542200.0,601899.SH,20260707,紫金矿业,NA,CNY
27.12,28.03,26.8,27.36,196981800.0,601899.SH,20260708,紫金矿业,NA,CNY
26.82,27.7,26.55,27.62,251499700.0,601899.SH,20260709,紫金矿业,NA,CNY
28.0,28.45,27.08,27.72,265710000.0,601899.SH,20260710,紫金矿业,NA,CNY
27.23,27.63,26.74,27.36,213023800.0,601899.SH,20260713,紫金矿业,NA,CNY
26.88,29.29,26.75,29.06,380320400.0,601899.SH,20260714,紫金矿业,NA,CNY
29.06,29.34,28.56,28.83,268349100.0,601899.SH,20260715,紫金矿业,NA,CNY
28.82,29.59,28.79,29.25,265438900.0,601899.SH,20260716,紫金矿业,NA,CNY
28.65,28.82,27.92,28.36,290416800.0,601899.SH,20260717,紫金矿业,NA,CNY
28.36,29.45,28.29,29.35,275768200.0,601899.SH,20260720,紫金矿业,NA,CNY
29.95,30.33,29.13,30.21,342666900.0,601899.SH,20260721,紫金矿业,NA,CNY
30.81,32.79,30.81,32.2,526165800.0,601899.SH,20260722,紫金矿业,NA,CNY
32.52,33.68,31.92,33.06,439447600.0,601899.SH,20260723,紫金矿业,NA,CNY
31.74,32.09,30.97,31.51,401039200.0,601899.SH,20260724,紫金矿业,NA,CNY
32.45,32.45,31.13,31.77,231658900.0,601899.SH,20260727,紫金矿业,NA,CNY
