open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
137.93,138.93,127.14,129.94,16250700.0,605376.SH,20260506,博迁新材,NA,CNY
130.04,131.94,126.72,129.98,10152800.0,605376.SH,20260507,博迁新材,NA,CNY
128.94,137.53,127.74,134.24,9728900.0,605376.SH,20260508,博迁新材,NA,CNY
135.34,142.43,134.24,137.89,12752200.0,605376.SH,20260511,博迁新材,NA,CNY
138.87,139.73,132.17,134.61,7222100.0,605376.SH,20260512,博迁新材,NA,CNY
133.42,133.83,126.1,129.44,14733000.0,605376.SH,20260513,博迁新材,NA,CNY
128.76,129.91,120.54,121.19,12985400.0,605376.SH,20260514,博迁新材,NA,CNY
121.43,125.94,119.92,122.94,9358700.0,605376.SH,20260515,博迁新材,NA,CNY
120.43,122.54,116.55,117.93,11474800.0,605376.SH,20260518,博迁新材,NA,CNY
117.35,129.73,113.7,129.73,21676900.0,605376.SH,20260519,博迁新材,NA,CNY
132.33,138.52,128.44,137.38,17760600.0,605376.SH,20260520,博迁新材,NA,CNY
139.93,148.83,138.43,139.29,18357500.0,605376.SH,20260521,博迁新材,NA,CNY
150.89,153.23,147.93,153.23,9884900.0,605376.SH,20260522,博迁新材,NA,CNY
168.55,168.55,163.59,166.79,27467500.0,605376.SH,20260525,博迁新材,NA,CNY
162.12,168.11,155.61,159.42,20031900.0,605376.SH,20260526,博迁新材,NA,CNY
162.61,172.72,157.93,165.78,21001400.0,605376.SH,20260527,博迁新材,NA,CNY
174.92,182.36,171.32,182.36,19132100.0,605376.SH,20260528,博迁新材,NA,CNY
185.53,188.92,175.92,178.24,18889300.0,605376.SH,20260529,博迁新材,NA,CNY
180.84,193.49,178.09,178.69,21534700.0,605376.SH,20260601,博迁新材,NA,CNY
179.91,194.49,170.0,190.55,21422200.0,605376.SH,20260602,博迁新材,NA,CNY
193.6,195.51,185.61,189.96,17159300.0,605376.SH,20260603,博迁新材,NA,CNY
186.54,198.57,183.99,187.91,16020800.0,605376.SH,20260604,博迁新材,NA,CNY
183.46,187.46,175.0,178.32,16027800.0,605376.SH,20260605,博迁新材,NA,CNY
166.72,180.91,165.88,172.92,16129700.0,605376.SH,20260608,博迁新材,NA,CNY
177.91,190.21,173.92,190.21,13106800.0,605376.SH,20260609,博迁新材,NA,CNY
192.61,196.51,185.01,193.91,16744300.0,605376.SH,20260610,博迁新材,NA,CNY
191.91,200.7,177.91,180.91,16772700.0,605376.SH,20260611,博迁新材,NA,CNY
187.21,192.49,176.22,176.93,15103500.0,605376.SH,20260612,博迁新材,NA,CNY
183.91,194.62,182.79,194.62,10908400.0,605376.SH,20260615,博迁新材,NA,CNY
199.9,214.08,196.51,212.9,15435100.0,605376.SH,20260616,博迁新材,NA,CNY
209.9,215.89,199.88,210.18,19411200.0,605376.SH,20260617,博迁新材,NA,CNY
210.09,231.2,205.8,231.2,9883200.0,605376.SH,20260618,博迁新材,NA,CNY
240.93,247.37,231.24,245.77,17644800.0,605376.SH,20260622,博迁新材,NA,CNY
237.89,237.89,221.19,223.89,16140500.0,605376.SH,20260623,博迁新材,NA,CNY
223.05,232.65,219.9,224.39,12134300.0,605376.SH,20260624,博迁新材,NA,CNY
225.4,246.84,222.5,246.84,7632900.0,605376.SH,20260625,博迁新材,NA,CNY
255.0,271.52,254.0,264.0,19984500.0,605376.SH,20260626,博迁新材,NA,CNY
273.84,290.3,266.0,279.5,18068300.0,605376.SH,20260629,博迁新材,NA,CNY
288.88,296.3,264.1,271.3,14958500.0,605376.SH,20260630,博迁新材,NA,CNY
270.0,285.73,268.97,273.46,12093200.0,605376.SH,20260701,博迁新材,NA,CNY
254.0,264.0,246.11,246.11,12429600.0,605376.SH,20260702,博迁新材,NA,CNY
234.59,251.4,224.66,238.1,12918300.0,605376.SH,20260703,博迁新材,NA,CNY
239.59,244.4,217.86,218.74,12604800.0,605376.SH,20260706,博迁新材,NA,CNY
219.84,222.5,207.8,212.53,11186400.0,605376.SH,20260707,博迁新材,NA,CNY
215.0,223.1,202.03,202.8,9772200.0,605376.SH,20260708,博迁新材,NA,CNY
208.0,212.0,189.01,206.95,17687900.0,605376.SH,20260709,博迁新材,NA,CNY
213.0,225.0,199.0,199.75,14786000.0,605376.SH,20260710,博迁新材,NA,CNY
190.0,200.65,180.5,183.99,15441800.0,605376.SH,20260713,博迁新材,NA,CNY
185.5,197.18,181.24,196.3,12508500.0,605376.SH,20260714,博迁新材,NA,CNY
202.99,206.58,182.25,184.47,10154200.0,605376.SH,20260715,博迁新材,NA,CNY
179.92,183.44,166.02,166.02,14007400.0,605376.SH,20260716,博迁新材,NA,CNY
166.02,167.17,149.42,149.42,14273800.0,605376.SH,20260717,博迁新材,NA,CNY
152.0,153.0,134.48,134.48,10951000.0,605376.SH,20260720,博迁新材,NA,CNY
133.04,147.93,121.03,147.93,20007400.0,605376.SH,20260721,博迁新材,NA,CNY
148.76,158.86,143.1,145.02,16285500.0,605376.SH,20260722,博迁新材,NA,CNY
149.83,159.52,144.0,146.41,16889800.0,605376.SH,20260723,博迁新材,NA,CNY
142.88,146.87,137.62,137.87,13412300.0,605376.SH,20260724,博迁新材,NA,CNY
140.64,151.66,138.09,151.66,13574400.0,605376.SH,20260727,博迁新材,NA,CNY
