open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
34.83,35.83,34.59,35.19,19955200.0,603678.SH,20260520,火炬电子,NA,CNY
35.3,36.5,34.15,34.25,17850000.0,603678.SH,20260521,火炬电子,NA,CNY
34.54,37.68,34.54,37.68,40503100.0,603678.SH,20260522,火炬电子,NA,CNY
41.32,41.34,39.11,39.5,55655000.0,603678.SH,20260525,火炬电子,NA,CNY
39.49,41.08,38.86,40.64,40581300.0,603678.SH,20260526,火炬电子,NA,CNY
41.35,43.85,41.0,43.01,50122900.0,603678.SH,20260527,火炬电子,NA,CNY
43.8,47.31,43.01,47.31,51276600.0,603678.SH,20260528,火炬电子,NA,CNY
49.0,51.44,48.0,48.44,85305500.0,603678.SH,20260529,火炬电子,NA,CNY
46.54,53.28,46.54,53.28,39298800.0,603678.SH,20260601,火炬电子,NA,CNY
52.15,58.61,51.5,58.61,48073900.0,603678.SH,20260602,火炬电子,NA,CNY
59.99,64.47,59.22,63.93,72568300.0,603678.SH,20260603,火炬电子,NA,CNY
62.69,65.94,60.7,64.55,59464500.0,603678.SH,20260604,火炬电子,NA,CNY
63.82,64.94,61.1,62.98,45599000.0,603678.SH,20260605,火炬电子,NA,CNY
58.01,65.8,56.68,56.68,63816400.0,603678.SH,20260608,火炬电子,NA,CNY
58.27,61.14,52.61,59.62,80174600.0,603678.SH,20260609,火炬电子,NA,CNY
56.74,59.02,54.61,56.28,50396200.0,603678.SH,20260610,火炬电子,NA,CNY
56.24,61.91,55.15,61.91,43108700.0,603678.SH,20260611,火炬电子,NA,CNY
62.83,63.7,57.0,58.15,55110200.0,603678.SH,20260612,火炬电子,NA,CNY
59.9,63.97,59.9,63.97,18161000.0,603678.SH,20260615,火炬电子,NA,CNY
68.36,69.36,65.68,67.7,53753100.0,603678.SH,20260616,火炬电子,NA,CNY
66.3,69.73,65.5,69.71,54376800.0,603678.SH,20260617,火炬电子,NA,CNY
68.0,74.8,67.4,67.75,47287700.0,603678.SH,20260618,火炬电子,NA,CNY
67.99,68.88,62.8,65.19,48360600.0,603678.SH,20260622,火炬电子,NA,CNY
63.5,63.79,59.48,62.09,44571700.0,603678.SH,20260623,火炬电子,NA,CNY
62.05,68.3,62.05,68.3,17088000.0,603678.SH,20260624,火炬电子,NA,CNY
72.33,75.13,71.98,75.13,14883400.0,603678.SH,20260625,火炬电子,NA,CNY
74.6,81.01,73.63,79.49,57697400.0,603678.SH,20260626,火炬电子,NA,CNY
81.49,87.3,76.5,80.43,45207500.0,603678.SH,20260629,火炬电子,NA,CNY
80.0,84.88,77.2,83.0,42847800.0,603678.SH,20260630,火炬电子,NA,CNY
85.6,91.3,84.0,87.5,51465700.0,603678.SH,20260701,火炬电子,NA,CNY
79.81,83.0,78.75,81.27,40678900.0,603678.SH,20260702,火炬电子,NA,CNY
81.26,89.4,77.93,85.48,42942200.0,603678.SH,20260703,火炬电子,NA,CNY
88.0,88.0,76.93,76.93,29106100.0,603678.SH,20260706,火炬电子,NA,CNY
73.63,76.0,69.24,69.24,37170900.0,603678.SH,20260707,火炬电子,NA,CNY
69.0,71.88,62.32,62.32,37626400.0,603678.SH,20260708,火炬电子,NA,CNY
62.9,63.8,58.29,63.5,40210400.0,603678.SH,20260709,火炬电子,NA,CNY
62.94,67.24,59.3,59.45,33955100.0,603678.SH,20260710,火炬电子,NA,CNY
57.97,60.38,53.51,53.51,28584200.0,603678.SH,20260713,火炬电子,NA,CNY
52.88,56.35,50.7,56.01,41552000.0,603678.SH,20260714,火炬电子,NA,CNY
57.79,58.64,54.23,55.28,25164600.0,603678.SH,20260715,火炬电子,NA,CNY
55.04,55.04,50.0,50.96,22823000.0,603678.SH,20260716,火炬电子,NA,CNY
51.64,51.8,46.25,47.23,24824900.0,603678.SH,20260717,火炬电子,NA,CNY
48.59,48.84,42.51,42.51,20503200.0,603678.SH,20260720,火炬电子,NA,CNY
43.36,46.76,38.3,46.76,33581900.0,603678.SH,20260721,火炬电子,NA,CNY
46.6,48.38,43.88,43.99,27297200.0,603678.SH,20260722,火炬电子,NA,CNY
44.7,48.39,43.9,44.83,32615800.0,603678.SH,20260723,火炬电子,NA,CNY
44.27,44.35,41.6,42.02,24667700.0,603678.SH,20260724,火炬电子,NA,CNY
