open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
5.32,5.57,5.27,5.48,76888500.0,600500.SH,20260528,中化国际,NA,CNY
5.5,5.73,5.32,5.38,77382600.0,600500.SH,20260529,中化国际,NA,CNY
5.36,5.9,5.3,5.7,103825700.0,600500.SH,20260601,中化国际,NA,CNY
5.68,6.27,5.48,6.27,172594500.0,600500.SH,20260602,中化国际,NA,CNY
6.37,6.37,5.81,5.97,168773100.0,600500.SH,20260603,中化国际,NA,CNY
5.87,5.94,5.65,5.7,79084800.0,600500.SH,20260604,中化国际,NA,CNY
5.7,5.98,5.51,5.7,103594400.0,600500.SH,20260605,中化国际,NA,CNY
5.48,5.54,5.27,5.41,88678900.0,600500.SH,20260608,中化国际,NA,CNY
5.85,5.95,5.85,5.95,40641700.0,600500.SH,20260609,中化国际,NA,CNY
6.55,6.55,6.55,6.55,31438800.0,600500.SH,20260610,中化国际,NA,CNY
7.21,7.21,7.21,7.21,38887000.0,600500.SH,20260611,中化国际,NA,CNY
7.9,7.93,7.48,7.93,577793200.0,600500.SH,20260612,中化国际,NA,CNY
7.85,8.49,7.25,8.24,539153800.0,600500.SH,20260615,中化国际,NA,CNY
9.0,9.06,9.0,9.06,103109700.0,600500.SH,20260616,中化国际,NA,CNY
9.46,9.85,8.74,9.2,588575700.0,600500.SH,20260617,中化国际,NA,CNY
8.87,9.13,8.34,8.83,408581400.0,600500.SH,20260618,中化国际,NA,CNY
8.8,8.96,8.2,8.76,361650600.0,600500.SH,20260622,中化国际,NA,CNY
8.69,8.98,7.89,8.04,315773900.0,600500.SH,20260623,中化国际,NA,CNY
7.85,8.09,7.64,7.85,224554100.0,600500.SH,20260624,中化国际,NA,CNY
7.81,8.64,7.7,8.64,274423000.0,600500.SH,20260625,中化国际,NA,CNY
8.72,9.5,8.65,8.92,402532000.0,600500.SH,20260626,中化国际,NA,CNY
8.82,8.99,8.03,8.03,225322700.0,600500.SH,20260629,中化国际,NA,CNY
8.0,8.1,7.6,7.83,247685900.0,600500.SH,20260630,中化国际,NA,CNY
7.68,8.6,7.68,7.96,244224900.0,600500.SH,20260701,中化国际,NA,CNY
7.5,8.18,7.16,7.51,209563800.0,600500.SH,20260702,中化国际,NA,CNY
7.45,7.68,7.26,7.36,137112700.0,600500.SH,20260703,中化国际,NA,CNY
7.39,7.47,6.9,6.98,125698600.0,600500.SH,20260706,中化国际,NA,CNY
6.91,7.21,6.69,6.73,95393000.0,600500.SH,20260707,中化国际,NA,CNY
6.77,6.84,6.38,6.39,110477200.0,600500.SH,20260708,中化国际,NA,CNY
6.44,6.61,6.06,6.6,125538300.0,600500.SH,20260709,中化国际,NA,CNY
6.58,6.96,6.44,6.45,120794200.0,600500.SH,20260710,中化国际,NA,CNY
6.34,6.39,5.84,5.9,93543800.0,600500.SH,20260713,中化国际,NA,CNY
5.98,6.27,5.76,6.25,109979300.0,600500.SH,20260714,中化国际,NA,CNY
6.28,6.31,5.96,6.0,67276300.0,600500.SH,20260715,中化国际,NA,CNY
5.88,5.94,5.53,5.58,84357900.0,600500.SH,20260716,中化国际,NA,CNY
5.51,5.61,5.1,5.16,91178000.0,600500.SH,20260717,中化国际,NA,CNY
5.25,5.26,4.64,4.65,119481100.0,600500.SH,20260720,中化国际,NA,CNY
4.65,4.99,4.34,4.94,142106800.0,600500.SH,20260721,中化国际,NA,CNY
4.88,4.96,4.71,4.76,85066300.0,600500.SH,20260722,中化国际,NA,CNY
4.78,4.92,4.73,4.8,67817300.0,600500.SH,20260723,中化国际,NA,CNY
4.7,4.91,4.69,4.71,63661700.0,600500.SH,20260724,中化国际,NA,CNY
4.74,4.95,4.69,4.94,81543100.0,600500.SH,20260727,中化国际,NA,CNY
44.02,49.34,43.51,48.66,63919200.0,605589.SH,20260528,圣泉集团,NA,CNY
48.78,49.78,46.08,46.39,53368300.0,605589.SH,20260529,圣泉集团,NA,CNY
47.0,51.03,47.0,49.2,80509700.0,605589.SH,20260601,圣泉集团,NA,CNY
48.22,54.12,48.21,54.12,71011000.0,605589.SH,20260602,圣泉集团,NA,CNY
53.33,56.95,53.2,54.65,84973500.0,605589.SH,20260603,圣泉集团,NA,CNY
53.54,55.82,52.43,54.4,62526200.0,605589.SH,20260604,圣泉集团,NA,CNY
53.45,54.2,50.05,52.7,51833100.0,605589.SH,20260605,圣泉集团,NA,CNY
50.0,53.39,49.15,49.67,49848800.0,605589.SH,20260608,圣泉集团,NA,CNY
54.64,54.64,54.64,54.64,7539400.0,605589.SH,20260609,圣泉集团,NA,CNY
60.1,60.1,60.1,60.1,17861700.0,605589.SH,20260610,圣泉集团,NA,CNY
62.0,65.08,57.01,61.0,132317400.0,605589.SH,20260611,圣泉集团,NA,CNY
59.0,63.48,57.05,58.32,107754600.0,605589.SH,20260612,圣泉集团,NA,CNY
57.99,64.15,57.94,64.15,63544300.0,605589.SH,20260615,圣泉集团,NA,CNY
65.9,67.98,64.31,67.06,96111000.0,605589.SH,20260616,圣泉集团,NA,CNY
65.12,69.47,65.01,66.4,88478900.0,605589.SH,20260617,圣泉集团,NA,CNY
64.66,71.8,64.01,69.82,79131600.0,605589.SH,20260618,圣泉集团,NA,CNY
71.02,74.5,67.66,73.52,85443000.0,605589.SH,20260622,圣泉集团,NA,CNY
73.65,73.68,66.17,66.17,83195100.0,605589.SH,20260623,圣泉集团,NA,CNY
64.5,68.79,61.95,66.33,68456000.0,605589.SH,20260624,圣泉集团,NA,CNY
65.19,72.96,63.3,72.96,78091300.0,605589.SH,20260625,圣泉集团,NA,CNY
71.46,71.46,65.99,66.71,69751800.0,605589.SH,20260626,圣泉集团,NA,CNY
66.74,68.05,60.5,62.69,63140200.0,605589.SH,20260629,圣泉集团,NA,CNY
61.97,65.07,61.77,63.57,52720600.0,605589.SH,20260630,圣泉集团,NA,CNY
63.9,64.5,61.36,62.73,47192500.0,605589.SH,20260701,圣泉集团,NA,CNY
58.1,60.86,57.21,57.35,52715800.0,605589.SH,20260702,圣泉集团,NA,CNY
57.0,58.85,55.06,55.7,48104000.0,605589.SH,20260703,圣泉集团,NA,CNY
57.04,59.0,54.0,57.7,53746600.0,605589.SH,20260706,圣泉集团,NA,CNY
57.0,60.26,56.73,57.7,46857400.0,605589.SH,20260707,圣泉集团,NA,CNY
58.46,58.88,53.8,53.96,45055000.0,605589.SH,20260708,圣泉集团,NA,CNY
54.82,55.69,52.39,55.31,48028100.0,605589.SH,20260709,圣泉集团,NA,CNY
55.5,57.16,52.38,52.38,44571600.0,605589.SH,20260710,圣泉集团,NA,CNY
52.43,53.94,49.74,50.05,38420100.0,605589.SH,20260713,圣泉集团,NA,CNY
50.06,52.79,49.2,51.95,40152400.0,605589.SH,20260714,圣泉集团,NA,CNY
52.07,53.0,48.01,48.24,40584200.0,605589.SH,20260715,圣泉集团,NA,CNY
46.5,48.69,45.0,45.65,36314700.0,605589.SH,20260716,圣泉集团,NA,CNY
45.76,45.8,41.22,41.84,36798400.0,605589.SH,20260717,圣泉集团,NA,CNY
