open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
16.49,17.05,16.2,16.84,41869100.0,601699.SH,20260622,潞安环能,NA,CNY
16.78,17.17,16.17,16.23,46638300.0,601699.SH,20260623,潞安环能,NA,CNY
16.18,16.39,15.64,15.82,37431200.0,601699.SH,20260624,潞安环能,NA,CNY
15.61,16.04,15.43,15.5,28205100.0,601699.SH,20260625,潞安环能,NA,CNY
15.6,15.65,14.67,14.71,37181700.0,601699.SH,20260626,潞安环能,NA,CNY
14.71,15.03,14.41,14.73,30702500.0,601699.SH,20260629,潞安环能,NA,CNY
14.78,14.78,14.05,14.28,26904000.0,601699.SH,20260630,潞安环能,NA,CNY
14.29,14.81,14.0,14.42,28371600.0,601699.SH,20260701,潞安环能,NA,CNY
14.4,14.92,14.2,14.36,45335700.0,601699.SH,20260702,潞安环能,NA,CNY
14.47,14.79,14.39,14.68,32055300.0,601699.SH,20260703,潞安环能,NA,CNY
14.69,15.25,14.5,15.15,43557900.0,601699.SH,20260706,潞安环能,NA,CNY
15.29,15.61,14.62,14.89,46942100.0,601699.SH,20260707,潞安环能,NA,CNY
14.92,15.99,14.8,15.36,51222600.0,601699.SH,20260708,潞安环能,NA,CNY
15.21,15.38,14.65,14.77,32208700.0,601699.SH,20260709,潞安环能,NA,CNY
14.43,15.02,14.15,14.83,35023400.0,601699.SH,20260710,潞安环能,NA,CNY
14.75,14.98,14.25,14.39,25052600.0,601699.SH,20260713,潞安环能,NA,CNY
14.5,15.04,14.35,14.86,34483500.0,601699.SH,20260714,潞安环能,NA,CNY
14.68,15.4,14.61,15.37,35492500.0,601699.SH,20260715,潞安环能,NA,CNY
15.3,15.48,14.69,14.96,30258800.0,601699.SH,20260716,潞安环能,NA,CNY
14.98,15.35,14.34,14.36,33080200.0,601699.SH,20260717,潞安环能,NA,CNY
14.58,15.72,14.4,15.61,49150600.0,601699.SH,20260720,潞安环能,NA,CNY
15.4,15.63,14.77,14.95,45737500.0,601699.SH,20260721,潞安环能,NA,CNY
14.9,15.9,14.8,15.87,40375500.0,601699.SH,20260722,潞安环能,NA,CNY
15.63,16.01,15.41,15.96,37115700.0,601699.SH,20260723,潞安环能,NA,CNY
15.91,16.14,15.12,15.14,26405400.0,601699.SH,20260724,潞安环能,NA,CNY
14.83,15.2,14.61,15.12,21011600.0,601699.SH,20260727,潞安环能,NA,CNY
14.91,14.99,14.31,14.72,26696100.0,601699.SH,20260728,潞安环能,NA,CNY
14.7,15.58,14.63,15.45,40830700.0,601699.SH,20260729,潞安环能,NA,CNY
15.39,15.67,14.88,15.16,31743500.0,601699.SH,20260730,潞安环能,NA,CNY
14.91,15.33,14.9,15.1,21796000.0,601699.SH,20260731,潞安环能,NA,CNY
18.25,18.8,17.96,18.54,22060500.0,601001.SH,20260622,晋控煤业,NA,CNY
18.5,19.35,18.33,18.39,25882100.0,601001.SH,20260623,晋控煤业,NA,CNY
18.4,18.66,17.82,18.28,15023400.0,601001.SH,20260624,晋控煤业,NA,CNY
17.97,18.72,17.8,17.86,22178600.0,601001.SH,20260625,晋控煤业,NA,CNY
18.03,18.16,16.89,16.97,22685300.0,601001.SH,20260626,晋控煤业,NA,CNY
17.01,18.1,16.53,17.86,27981700.0,601001.SH,20260629,晋控煤业,NA,CNY
17.83,17.96,16.74,16.88,22421600.0,601001.SH,20260630,晋控煤业,NA,CNY
16.97,17.62,16.55,17.34,18047900.0,601001.SH,20260701,晋控煤业,NA,CNY
17.36,17.77,16.85,16.96,21537200.0,601001.SH,20260702,晋控煤业,NA,CNY
17.07,17.48,17.04,17.24,15071700.0,601001.SH,20260703,晋控煤业,NA,CNY
16.95,17.97,16.87,17.91,26531200.0,601001.SH,20260706,晋控煤业,NA,CNY
17.96,18.14,16.97,17.18,20767600.0,601001.SH,20260707,晋控煤业,NA,CNY
17.18,18.9,17.1,18.31,36033800.0,601001.SH,20260708,晋控煤业,NA,CNY
18.15,18.15,17.21,17.25,29020700.0,601001.SH,20260709,晋控煤业,NA,CNY
16.88,16.99,16.17,16.58,24102500.0,601001.SH,20260710,晋控煤业,NA,CNY
16.48,16.86,15.83,16.21,18226800.0,601001.SH,20260713,晋控煤业,NA,CNY
16.33,17.17,16.22,16.84,22272100.0,601001.SH,20260714,晋控煤业,NA,CNY
16.84,17.79,16.49,17.6,24278300.0,601001.SH,20260715,晋控煤业,NA,CNY
17.52,18.1,17.36,17.64,20602800.0,601001.SH,20260716,晋控煤业,NA,CNY
17.73,18.04,16.95,17.02,16135800.0,601001.SH,20260717,晋控煤业,NA,CNY
17.28,18.72,17.17,18.72,24016500.0,601001.SH,20260720,晋控煤业,NA,CNY
18.55,18.76,17.7,18.33,27530300.0,601001.SH,20260721,晋控煤业,NA,CNY
18.09,18.22,17.34,17.82,35746000.0,601001.SH,20260722,晋控煤业,NA,CNY
17.42,17.92,17.16,17.6,28421200.0,601001.SH,20260723,晋控煤业,NA,CNY
17.66,17.88,16.46,16.46,28062000.0,601001.SH,20260724,晋控煤业,NA,CNY
15.8,16.53,15.59,16.47,17279600.0,601001.SH,20260727,晋控煤业,NA,CNY
16.09,16.52,15.58,16.49,22515500.0,601001.SH,20260728,晋控煤业,NA,CNY
16.3,16.7,16.02,16.37,20302700.0,601001.SH,20260729,晋控煤业,NA,CNY
16.37,16.74,15.94,16.06,19293200.0,601001.SH,20260730,晋控煤业,NA,CNY
15.75,16.52,15.74,16.45,19727800.0,601001.SH,20260731,晋控煤业,NA,CNY
