open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
36.84,38.23,36.67,37.54,41169600.0,600895.SH,20260506,张江高科,NA,CNY
37.86,38.03,37.36,37.85,24304000.0,600895.SH,20260507,张江高科,NA,CNY
37.5,37.71,37.11,37.37,20169800.0,600895.SH,20260508,张江高科,NA,CNY
37.74,38.96,37.74,38.31,35792700.0,600895.SH,20260511,张江高科,NA,CNY
38.28,38.28,37.22,37.51,31106900.0,600895.SH,20260512,张江高科,NA,CNY
37.11,37.36,36.3,37.01,38536800.0,600895.SH,20260513,张江高科,NA,CNY
37.07,37.36,35.21,35.45,41345000.0,600895.SH,20260514,张江高科,NA,CNY
35.45,36.74,34.44,34.69,58056800.0,600895.SH,20260515,张江高科,NA,CNY
34.34,35.71,34.0,34.4,48974800.0,600895.SH,20260518,张江高科,NA,CNY
34.37,34.85,33.61,34.55,38067800.0,600895.SH,20260519,张江高科,NA,CNY
34.27,38.01,34.21,38.01,60527600.0,600895.SH,20260520,张江高科,NA,CNY
38.76,39.24,37.09,37.17,116115200.0,600895.SH,20260521,张江高科,NA,CNY
37.86,40.8,37.86,39.5,110342800.0,600895.SH,20260522,张江高科,NA,CNY
38.88,40.64,38.72,40.22,99678800.0,600895.SH,20260525,张江高科,NA,CNY
40.05,40.33,38.41,39.17,72800500.0,600895.SH,20260526,张江高科,NA,CNY
38.97,39.54,36.58,36.8,66948600.0,600895.SH,20260527,张江高科,NA,CNY
36.44,37.97,36.18,37.37,47500000.0,600895.SH,20260528,张江高科,NA,CNY
37.56,37.86,34.35,34.61,60033200.0,600895.SH,20260529,张江高科,NA,CNY
34.87,35.01,33.66,33.66,35944500.0,600895.SH,20260601,张江高科,NA,CNY
33.83,33.86,32.53,33.21,29271300.0,600895.SH,20260602,张江高科,NA,CNY
33.08,33.72,32.73,32.96,25047500.0,600895.SH,20260603,张江高科,NA,CNY
32.54,33.08,32.24,32.69,24272400.0,600895.SH,20260604,张江高科,NA,CNY
32.39,32.96,31.22,32.06,32949200.0,600895.SH,20260605,张江高科,NA,CNY
30.46,31.19,29.88,29.9,34227700.0,600895.SH,20260608,张江高科,NA,CNY
30.86,31.31,30.1,31.28,30891300.0,600895.SH,20260609,张江高科,NA,CNY
30.67,31.75,30.66,31.26,24385800.0,600895.SH,20260610,张江高科,NA,CNY
30.89,33.04,30.89,32.35,42432500.0,600895.SH,20260611,张江高科,NA,CNY
32.42,35.58,32.42,34.15,71667200.0,600895.SH,20260612,张江高科,NA,CNY
33.88,34.14,32.99,33.61,42478100.0,600895.SH,20260615,张江高科,NA,CNY
33.72,34.12,33.08,33.18,34289000.0,600895.SH,20260616,张江高科,NA,CNY
33.06,33.77,32.59,33.15,34949500.0,600895.SH,20260617,张江高科,NA,CNY
33.13,33.43,32.48,32.77,29405300.0,600895.SH,20260618,张江高科,NA,CNY
32.77,33.15,32.06,32.73,29700800.0,600895.SH,20260622,张江高科,NA,CNY
32.68,33.58,31.88,32.04,33968500.0,600895.SH,20260623,张江高科,NA,CNY
32.04,33.86,31.48,33.29,42278800.0,600895.SH,20260624,张江高科,NA,CNY
33.15,33.43,32.4,32.59,27450500.0,600895.SH,20260625,张江高科,NA,CNY
32.28,35.85,32.15,33.83,69810300.0,600895.SH,20260626,张江高科,NA,CNY
33.97,36.24,32.76,34.96,63725800.0,600895.SH,20260629,张江高科,NA,CNY
34.41,37.6,34.41,37.11,74638400.0,600895.SH,20260630,张江高科,NA,CNY
37.11,39.25,36.48,37.6,73460800.0,600895.SH,20260701,张江高科,NA,CNY
36.66,36.81,35.47,35.52,47943800.0,600895.SH,20260702,张江高科,NA,CNY
35.37,35.74,34.47,34.49,38253200.0,600895.SH,20260703,张江高科,NA,CNY
34.77,35.41,34.17,34.35,29641500.0,600895.SH,20260706,张江高科,NA,CNY
34.26,34.97,33.67,34.43,29359600.0,600895.SH,20260707,张江高科,NA,CNY
34.21,34.43,32.57,33.46,31631000.0,600895.SH,20260708,张江高科,NA,CNY
33.79,35.07,33.01,34.89,36448700.0,600895.SH,20260709,张江高科,NA,CNY
35.21,36.97,34.95,35.04,54034000.0,600895.SH,20260710,张江高科,NA,CNY
34.84,35.47,33.62,33.84,37013700.0,600895.SH,20260713,张江高科,NA,CNY
37.23,37.23,34.66,35.02,73818200.0,600895.SH,20260714,张江高科,NA,CNY
33.46,33.52,31.58,31.61,60728900.0,600895.SH,20260715,张江高科,NA,CNY
31.0,32.87,30.31,31.89,29663900.0,600895.SH,20260716,张江高科,NA,CNY
31.5,31.79,30.06,30.27,28674100.0,600895.SH,20260717,张江高科,NA,CNY
30.35,30.61,27.3,27.73,38770500.0,600895.SH,20260720,张江高科,NA,CNY
27.99,28.64,26.78,28.58,32253200.0,600895.SH,20260721,张江高科,NA,CNY
28.42,28.67,27.62,27.73,23469200.0,600895.SH,20260722,张江高科,NA,CNY
27.73,27.92,27.47,27.89,14463100.0,600895.SH,20260723,张江高科,NA,CNY
