open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
161.58,164.88,147.0,147.05,21101300.0,300570.SZ,20260601,太辰光,NA,CNY
147.29,163.18,145.31,160.09,24384100.0,300570.SZ,20260602,太辰光,NA,CNY
169.19,181.02,164.22,168.0,35922500.0,300570.SZ,20260603,太辰光,NA,CNY
167.52,177.18,167.52,170.86,20616500.0,300570.SZ,20260604,太辰光,NA,CNY
171.19,179.65,166.21,167.59,26473600.0,300570.SZ,20260605,太辰光,NA,CNY
150.34,160.74,150.34,153.17,20624700.0,300570.SZ,20260608,太辰光,NA,CNY
157.26,183.81,155.5,180.85,40226900.0,300570.SZ,20260609,太辰光,NA,CNY
177.73,178.75,167.21,169.2,26052000.0,300570.SZ,20260610,太辰光,NA,CNY
172.18,184.12,168.2,176.74,31949800.0,300570.SZ,20260611,太辰光,NA,CNY
182.14,191.84,174.18,184.21,38795800.0,300570.SZ,20260612,太辰光,NA,CNY
202.27,221.05,202.05,221.05,30235300.0,300570.SZ,20260615,太辰光,NA,CNY
243.91,262.36,243.91,262.05,40870100.0,300570.SZ,20260616,太辰光,NA,CNY
260.27,271.12,255.06,264.74,31696400.0,300570.SZ,20260617,太辰光,NA,CNY
263.75,267.75,252.8,267.33,30016700.0,300570.SZ,20260618,太辰光,NA,CNY
262.76,284.5,260.77,279.86,33540400.0,300570.SZ,20260622,太辰光,NA,CNY
272.71,275.16,255.79,263.27,25007500.0,300570.SZ,20260623,太辰光,NA,CNY
263.27,271.71,258.85,270.04,19838300.0,300570.SZ,20260624,太辰光,NA,CNY
270.85,275.95,245.14,257.09,32412500.0,300570.SZ,20260625,太辰光,NA,CNY
238.87,243.85,223.94,233.0,33383400.0,300570.SZ,20260626,太辰光,NA,CNY
232.9,238.67,215.67,224.58,22241600.0,300570.SZ,20260629,太辰光,NA,CNY
226.83,250.81,226.82,245.55,23870300.0,300570.SZ,20260630,太辰光,NA,CNY
245.93,249.37,232.9,237.24,15957500.0,300570.SZ,20260701,太辰光,NA,CNY
230.0,250.63,223.48,234.58,18653900.0,300570.SZ,20260702,太辰光,NA,CNY
230.55,247.83,228.92,236.0,17285600.0,300570.SZ,20260703,太辰光,NA,CNY
239.41,240.77,213.49,216.53,17622200.0,300570.SZ,20260706,太辰光,NA,CNY
216.21,219.96,206.02,210.91,13349100.0,300570.SZ,20260707,太辰光,NA,CNY
215.98,218.29,197.81,204.39,12755200.0,300570.SZ,20260708,太辰光,NA,CNY
207.87,211.66,196.53,210.83,17669200.0,300570.SZ,20260709,太辰光,NA,CNY
215.15,222.2,210.92,211.64,21883900.0,300570.SZ,20260710,太辰光,NA,CNY
207.61,211.15,189.5,190.7,15015900.0,300570.SZ,20260713,太辰光,NA,CNY
193.19,204.9,184.3,203.88,16195900.0,300570.SZ,20260714,太辰光,NA,CNY
207.96,209.9,195.68,196.83,13551800.0,300570.SZ,20260715,太辰光,NA,CNY
188.61,194.5,178.42,180.7,12891400.0,300570.SZ,20260716,太辰光,NA,CNY
179.5,179.88,155.89,158.08,15456400.0,300570.SZ,20260717,太辰光,NA,CNY
163.0,165.0,133.0,139.31,17211300.0,300570.SZ,20260720,太辰光,NA,CNY
142.01,154.0,120.68,153.19,24699900.0,300570.SZ,20260721,太辰光,NA,CNY
151.0,156.0,143.5,145.53,17174600.0,300570.SZ,20260722,太辰光,NA,CNY
147.9,151.15,139.68,141.0,12405600.0,300570.SZ,20260723,太辰光,NA,CNY
139.58,142.3,134.68,135.93,9488600.0,300570.SZ,20260724,太辰光,NA,CNY
136.8,140.99,132.55,140.99,10964900.0,300570.SZ,20260727,太辰光,NA,CNY
137.02,137.99,124.0,125.0,14051700.0,300570.SZ,20260728,太辰光,NA,CNY
125.12,127.77,114.15,120.0,15966800.0,300570.SZ,20260729,太辰光,NA,CNY
120.3,120.8,102.3,105.92,20074000.0,300570.SZ,20260730,太辰光,NA,CNY
119.0,123.13,113.69,114.0,18780000.0,300570.SZ,20260731,太辰光,NA,CNY
17.61,17.71,17.0,17.01,47958300.0,000070.SZ,20260601,特发信息,NA,CNY
16.94,17.96,16.73,17.74,54674500.0,000070.SZ,20260602,特发信息,NA,CNY
18.2,18.76,17.76,18.06,80648200.0,000070.SZ,20260603,特发信息,NA,CNY
17.42,19.35,17.42,18.53,72696000.0,000070.SZ,20260604,特发信息,NA,CNY
18.54,20.38,18.54,19.92,178681600.0,000070.SZ,20260605,特发信息,NA,CNY
17.93,19.49,17.93,18.46,141113100.0,000070.SZ,20260608,特发信息,NA,CNY
19.57,19.83,18.41,19.53,103440400.0,000070.SZ,20260609,特发信息,NA,CNY
19.22,19.36,17.7,18.21,97463500.0,000070.SZ,20260610,特发信息,NA,CNY
17.9,18.75,17.26,17.67,72475500.0,000070.SZ,20260611,特发信息,NA,CNY
18.1,18.24,16.92,17.1,83665300.0,000070.SZ,20260612,特发信息,NA,CNY
17.08,18.81,17.08,18.81,120766900.0,000070.SZ,20260615,特发信息,NA,CNY
19.37,19.88,19.0,19.49,132003300.0,000070.SZ,20260616,特发信息,NA,CNY
19.0,20.83,19.0,20.66,134680900.0,000070.SZ,20260617,特发信息,NA,CNY
20.76,21.2,20.33,20.73,107695900.0,000070.SZ,20260618,特发信息,NA,CNY
22.01,22.8,22.01,22.8,39807300.0,000070.SZ,20260622,特发信息,NA,CNY
24.75,25.08,23.51,25.08,137500500.0,000070.SZ,20260623,特发信息,NA,CNY
24.59,26.05,24.35,25.33,186135500.0,000070.SZ,20260624,特发信息,NA,CNY
25.33,25.47,23.77,24.77,115407400.0,000070.SZ,20260625,特发信息,NA,CNY
24.6,24.76,22.29,22.29,91337500.0,000070.SZ,20260626,特发信息,NA,CNY
21.89,22.35,20.06,20.37,107187800.0,000070.SZ,20260629,特发信息,NA,CNY
20.77,20.95,19.8,20.84,85096200.0,000070.SZ,20260630,特发信息,NA,CNY
20.8,21.0,19.39,19.6,86847500.0,000070.SZ,20260701,特发信息,NA,CNY
19.02,19.33,17.88,17.9,83041900.0,000070.SZ,20260702,特发信息,NA,CNY
18.13,19.09,17.92,17.99,82488100.0,000070.SZ,20260703,特发信息,NA,CNY
