open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
126.1,135.35,125.36,133.06,91825400.0,002463.SZ,20260528,沪电股份,NA,CNY
133.17,138.87,131.43,132.04,92476600.0,002463.SZ,20260529,沪电股份,NA,CNY
132.04,134.99,122.28,122.51,92013800.0,002463.SZ,20260601,沪电股份,NA,CNY
124.0,131.99,119.2,131.0,84681500.0,002463.SZ,20260602,沪电股份,NA,CNY
131.04,138.42,127.0,129.8,105210100.0,002463.SZ,20260603,沪电股份,NA,CNY
127.08,142.78,126.5,140.82,110635700.0,002463.SZ,20260604,沪电股份,NA,CNY
137.1,141.28,131.81,133.22,95505600.0,002463.SZ,20260605,沪电股份,NA,CNY
125.0,140.0,125.0,137.0,115989900.0,002463.SZ,20260608,沪电股份,NA,CNY
138.0,142.3,133.01,141.09,125005500.0,002463.SZ,20260609,沪电股份,NA,CNY
136.0,136.99,127.22,130.6,105092200.0,002463.SZ,20260610,沪电股份,NA,CNY
129.07,130.82,124.22,126.91,77892500.0,002463.SZ,20260611,沪电股份,NA,CNY
131.66,134.6,125.0,125.2,73944200.0,002463.SZ,20260612,沪电股份,NA,CNY
128.5,134.0,122.22,133.76,99418900.0,002463.SZ,20260615,沪电股份,NA,CNY
134.2,144.65,134.04,140.64,110149500.0,002463.SZ,20260616,沪电股份,NA,CNY
138.0,149.9,137.1,146.55,99154100.0,002463.SZ,20260617,沪电股份,NA,CNY
146.0,149.36,142.81,147.9,83679000.0,002463.SZ,20260618,沪电股份,NA,CNY
149.79,151.9,141.45,145.26,90864500.0,002463.SZ,20260622,沪电股份,NA,CNY
145.0,146.5,137.2,138.5,82636000.0,002463.SZ,20260623,沪电股份,NA,CNY
138.53,144.98,137.64,143.35,70570400.0,002463.SZ,20260624,沪电股份,NA,CNY
144.0,156.33,140.0,154.99,104388100.0,002463.SZ,20260625,沪电股份,NA,CNY
152.98,155.25,143.26,147.28,82123400.0,002463.SZ,20260626,沪电股份,NA,CNY
147.28,149.72,135.63,141.06,80749200.0,002463.SZ,20260629,沪电股份,NA,CNY
141.1,155.08,141.1,152.8,88985000.0,002463.SZ,20260630,沪电股份,NA,CNY
152.8,158.2,142.0,145.01,82444200.0,002463.SZ,20260701,沪电股份,NA,CNY
138.15,139.13,130.51,130.51,87848600.0,002463.SZ,20260702,沪电股份,NA,CNY
129.65,140.93,125.88,135.35,87345000.0,002463.SZ,20260703,沪电股份,NA,CNY
136.0,137.9,123.0,128.83,75489400.0,002463.SZ,20260706,沪电股份,NA,CNY
127.0,132.68,125.45,129.72,59556300.0,002463.SZ,20260707,沪电股份,NA,CNY
131.0,132.5,125.13,128.2,45616100.0,002463.SZ,20260708,沪电股份,NA,CNY
131.99,137.83,128.61,137.3,75273300.0,002463.SZ,20260709,沪电股份,NA,CNY
137.6,141.89,129.2,129.44,75894200.0,002463.SZ,20260710,沪电股份,NA,CNY
127.7,132.0,123.12,124.66,52716600.0,002463.SZ,20260713,沪电股份,NA,CNY
128.55,137.13,128.35,137.13,94019600.0,002463.SZ,20260714,沪电股份,NA,CNY
140.98,142.89,137.15,137.23,85963000.0,002463.SZ,20260715,沪电股份,NA,CNY
133.81,142.99,133.16,136.72,78354200.0,002463.SZ,20260716,沪电股份,NA,CNY
134.09,136.45,123.05,127.8,95729800.0,002463.SZ,20260717,沪电股份,NA,CNY
130.35,131.48,115.02,115.02,87426000.0,002463.SZ,20260720,沪电股份,NA,CNY
115.27,123.33,104.2,122.6,98100700.0,002463.SZ,20260721,沪电股份,NA,CNY
121.0,123.98,113.65,114.23,77540300.0,002463.SZ,20260722,沪电股份,NA,CNY
116.88,120.2,113.52,115.74,56134400.0,002463.SZ,20260723,沪电股份,NA,CNY
112.0,116.49,110.01,112.22,42070900.0,002463.SZ,20260724,沪电股份,NA,CNY
112.22,117.81,112.22,117.5,46161900.0,002463.SZ,20260727,沪电股份,NA,CNY
