open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3791.6616,3831.6593,3741.1099,3796.2814,709234069.0,000001.SH,2026-07-20,NA,NA,CNY
3812.1618,3864.6002,3743.3601,3864.3671,735021925.0,000001.SH,2026-07-21,NA,NA,CNY
3839.6654,3884.4352,3839.6654,3867.0336,614255215.0,000001.SH,2026-07-22,NA,NA,CNY
3868.0871,3878.8318,3851.7058,3876.7774,562122601.0,000001.SH,2026-07-23,NA,NA,CNY
3853.6316,3861.0404,3808.6359,3814.1978,508203905.0,000001.SH,2026-07-24,NA,NA,CNY
3808.9032,3858.3097,3793.4489,3858.245,504879454.0,000001.SH,2026-07-27,NA,NA,CNY
3823.1331,3844.0118,3797.3727,3813.3146,494829126.0,000001.SH,2026-07-28,NA,NA,CNY
3823.2931,3845.7661,3782.4811,3828.469,571226391.0,000001.SH,2026-07-29,NA,NA,CNY
3812.111,3839.3407,3767.5033,3804.6926,592298923.0,000001.SH,2026-07-30,NA,NA,CNY
3833.5359,3847.0926,3822.3736,3832.2624,597529427.0,000001.SH,2026-07-31,NA,NA,CNY
3504.1162,3550.5941,3338.2134,3443.1015,244123543.92,399006.SZ,2026-07-20,NA,NA,CNY
3469.2229,3687.1467,3373.0396,3685.9684,266040315.06,399006.SZ,2026-07-21,NA,NA,CNY
3644.9764,3694.8996,3553.3675,3566.7323,210638951.54,399006.SZ,2026-07-22,NA,NA,CNY
3596.7348,3621.7275,3538.1062,3575.5202,186725695.57,399006.SZ,2026-07-23,NA,NA,CNY
3515.5037,3561.3499,3480.8702,3480.8702,173919442.68,399006.SZ,2026-07-24,NA,NA,CNY
3482.0447,3592.1,3449.205,3590.7872,180418859.81,399006.SZ,2026-07-27,NA,NA,CNY
3478.8636,3511.7002,3312.3049,3327.0298,181583755.67,399006.SZ,2026-07-28,NA,NA,CNY
3333.4807,3411.0318,3249.6469,3378.6964,208319482.41,399006.SZ,2026-07-29,NA,NA,CNY
3331.3212,3353.8096,3158.1393,3244.6179,210928510.62,399006.SZ,2026-07-30,NA,NA,CNY
3411.6115,3464.8974,3343.9641,3343.9641,243241834.89,399006.SZ,2026-07-31,NA,NA,CNY
