open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
13.04,13.27,12.81,13.17,36967000.0,600732.SH,20260520,爱旭股份,NA,CNY
13.2,13.21,12.42,12.45,42573800.0,600732.SH,20260521,爱旭股份,NA,CNY
12.59,12.76,12.4,12.71,30351500.0,600732.SH,20260522,爱旭股份,NA,CNY
12.72,12.76,12.2,12.74,44131600.0,600732.SH,20260525,爱旭股份,NA,CNY
12.66,13.0,12.45,12.99,38678600.0,600732.SH,20260526,爱旭股份,NA,CNY
12.99,13.26,12.48,12.54,38319700.0,600732.SH,20260527,爱旭股份,NA,CNY
12.53,12.6,12.3,12.41,33492300.0,600732.SH,20260528,爱旭股份,NA,CNY
12.41,12.5,11.91,12.1,39426700.0,600732.SH,20260529,爱旭股份,NA,CNY
12.28,12.79,12.05,12.28,36722600.0,600732.SH,20260601,爱旭股份,NA,CNY
12.27,12.32,11.68,11.79,38182800.0,600732.SH,20260602,爱旭股份,NA,CNY
11.8,11.99,11.62,11.69,23368900.0,600732.SH,20260603,爱旭股份,NA,CNY
11.56,11.69,11.38,11.51,25615400.0,600732.SH,20260604,爱旭股份,NA,CNY
11.6,11.62,11.18,11.21,30548700.0,600732.SH,20260605,爱旭股份,NA,CNY
11.02,11.26,10.54,10.7,36901200.0,600732.SH,20260608,爱旭股份,NA,CNY
10.83,10.97,10.47,10.97,27692800.0,600732.SH,20260609,爱旭股份,NA,CNY
10.73,12.07,10.54,12.07,64260200.0,600732.SH,20260610,爱旭股份,NA,CNY
12.07,13.04,12.07,12.54,106036600.0,600732.SH,20260611,爱旭股份,NA,CNY
12.45,13.27,12.31,12.7,76184100.0,600732.SH,20260612,爱旭股份,NA,CNY
12.5,12.91,12.33,12.74,54738400.0,600732.SH,20260615,爱旭股份,NA,CNY
12.75,13.3,12.5,13.01,47918600.0,600732.SH,20260616,爱旭股份,NA,CNY
13.01,13.24,12.59,12.65,44617700.0,600732.SH,20260617,爱旭股份,NA,CNY
12.58,12.68,12.43,12.58,33300000.0,600732.SH,20260618,爱旭股份,NA,CNY
12.5,13.35,12.4,13.11,51800100.0,600732.SH,20260622,爱旭股份,NA,CNY
13.01,13.3,12.48,12.61,43317300.0,600732.SH,20260623,爱旭股份,NA,CNY
12.65,13.1,12.5,12.81,40538500.0,600732.SH,20260624,爱旭股份,NA,CNY
12.64,13.58,12.63,13.16,55154000.0,600732.SH,20260625,爱旭股份,NA,CNY
13.19,13.44,12.75,12.78,50739800.0,600732.SH,20260626,爱旭股份,NA,CNY
12.63,13.11,12.48,13.1,54167200.0,600732.SH,20260629,爱旭股份,NA,CNY
13.03,14.05,12.94,13.85,69264700.0,600732.SH,20260630,爱旭股份,NA,CNY
13.76,14.47,13.3,13.86,62387000.0,600732.SH,20260701,爱旭股份,NA,CNY
13.69,14.04,13.34,13.55,51910300.0,600732.SH,20260702,爱旭股份,NA,CNY
13.41,13.78,13.29,13.36,34043900.0,600732.SH,20260703,爱旭股份,NA,CNY
13.4,13.65,12.88,13.06,32299100.0,600732.SH,20260706,爱旭股份,NA,CNY
13.06,13.18,12.6,12.61,23728200.0,600732.SH,20260707,爱旭股份,NA,CNY
12.56,12.69,11.8,11.8,46007600.0,600732.SH,20260708,爱旭股份,NA,CNY
11.83,11.99,11.4,11.86,28472300.0,600732.SH,20260709,爱旭股份,NA,CNY
11.84,12.45,11.75,11.91,31156000.0,600732.SH,20260710,爱旭股份,NA,CNY
11.9,11.9,11.02,11.2,32040500.0,600732.SH,20260713,爱旭股份,NA,CNY
11.24,11.38,10.98,11.31,18091200.0,600732.SH,20260714,爱旭股份,NA,CNY
11.21,12.44,11.19,12.44,36951000.0,600732.SH,20260715,爱旭股份,NA,CNY
12.5,12.64,12.2,12.36,46955400.0,600732.SH,20260716,爱旭股份,NA,CNY
12.44,12.59,11.81,11.84,33506500.0,600732.SH,20260717,爱旭股份,NA,CNY
11.95,12.14,11.08,11.36,35865400.0,600732.SH,20260720,爱旭股份,NA,CNY
11.37,11.59,11.17,11.59,27490700.0,600732.SH,20260721,爱旭股份,NA,CNY
11.53,11.96,11.4,11.8,35605600.0,600732.SH,20260722,爱旭股份,NA,CNY
11.71,11.97,11.54,11.89,34540500.0,600732.SH,20260723,爱旭股份,NA,CNY
11.71,11.84,11.31,11.35,28956200.0,600732.SH,20260724,爱旭股份,NA,CNY
11.34,11.67,11.28,11.58,17148200.0,600732.SH,20260727,爱旭股份,NA,CNY
10.09,10.25,9.96,10.05,51201800.0,002459.SZ,20260520,晶澳科技,NA,CNY
10.08,10.22,9.66,9.67,61714400.0,002459.SZ,20260521,晶澳科技,NA,CNY
9.77,9.88,9.58,9.83,49163100.0,002459.SZ,20260522,晶澳科技,NA,CNY
9.83,9.85,9.52,9.64,45272900.0,002459.SZ,20260525,晶澳科技,NA,CNY
9.55,9.62,9.31,9.47,45197500.0,002459.SZ,20260526,晶澳科技,NA,CNY
9.45,9.79,9.31,9.36,61359900.0,002459.SZ,20260527,晶澳科技,NA,CNY
9.32,9.51,9.18,9.48,46531900.0,002459.SZ,20260528,晶澳科技,NA,CNY
9.47,9.49,9.08,9.11,56973700.0,002459.SZ,20260529,晶澳科技,NA,CNY
9.08,9.24,9.03,9.06,39570000.0,002459.SZ,20260601,晶澳科技,NA,CNY
9.07,9.09,8.69,8.76,57365900.0,002459.SZ,20260602,晶澳科技,NA,CNY
8.77,8.86,8.65,8.68,40291600.0,002459.SZ,20260603,晶澳科技,NA,CNY
8.59,8.73,8.49,8.62,44053100.0,002459.SZ,20260604,晶澳科技,NA,CNY
8.62,8.68,8.4,8.44,49055400.0,002459.SZ,20260605,晶澳科技,NA,CNY
8.28,8.45,7.99,8.04,52685200.0,002459.SZ,20260608,晶澳科技,NA,CNY
8.09,8.33,7.92,8.32,54545100.0,002459.SZ,20260609,晶澳科技,NA,CNY
8.23,9.15,8.02,9.15,82730800.0,002459.SZ,20260610,晶澳科技,NA,CNY
9.06,9.16,8.75,8.9,99196400.0,002459.SZ,20260611,晶澳科技,NA,CNY
8.93,9.08,8.76,8.85,108324700.0,002459.SZ,20260612,晶澳科技,NA,CNY
8.8,8.81,8.56,8.7,70742400.0,002459.SZ,20260615,晶澳科技,NA,CNY
8.62,8.74,8.53,8.69,52152900.0,002459.SZ,20260616,晶澳科技,NA,CNY
8.69,8.76,8.41,8.47,55379600.0,002459.SZ,20260617,晶澳科技,NA,CNY
8.51,8.51,8.27,8.33,49643600.0,002459.SZ,20260618,晶澳科技,NA,CNY
8.25,8.52,8.08,8.45,58529500.0,002459.SZ,20260622,晶澳科技,NA,CNY
8.36,8.47,8.05,8.07,53094200.0,002459.SZ,20260623,晶澳科技,NA,CNY
8.03,8.14,7.88,8.05,47108200.0,002459.SZ,20260624,晶澳科技,NA,CNY
7.97,8.22,7.88,8.05,50928300.0,002459.SZ,20260625,晶澳科技,NA,CNY
8.05,8.44,7.88,7.9,78042900.0,002459.SZ,20260626,晶澳科技,NA,CNY
7.76,8.01,7.7,7.88,50527100.0,002459.SZ,20260629,晶澳科技,NA,CNY
7.87,8.18,7.84,8.1,57740700.0,002459.SZ,20260630,晶澳科技,NA,CNY
8.07,8.91,7.99,8.72,126938400.0,002459.SZ,20260701,晶澳科技,NA,CNY
8.69,9.55,8.59,9.05,167249000.0,002459.SZ,20260702,晶澳科技,NA,CNY
9.0,9.08,8.25,8.27,126459300.0,002459.SZ,20260703,晶澳科技,NA,CNY
8.39,8.58,8.02,8.03,68316000.0,002459.SZ,20260706,晶澳科技,NA,CNY
8.0,8.19,7.86,7.86,57263800.0,002459.SZ,20260707,晶澳科技,NA,CNY
7.86,7.9,7.5,7.52,59910000.0,002459.SZ,20260708,晶澳科技,NA,CNY
7.5,7.57,7.29,7.5,41558200.0,002459.SZ,20260709,晶澳科技,NA,CNY
7.53,7.82,7.44,7.61,55460300.0,002459.SZ,20260710,晶澳科技,NA,CNY
7.52,7.55,7.0,7.03,64985300.0,002459.SZ,20260713,晶澳科技,NA,CNY
7.02,7.08,6.92,7.08,32488000.0,002459.SZ,20260714,晶澳科技,NA,CNY
6.99,7.29,6.97,7.18,41693500.0,002459.SZ,20260715,晶澳科技,NA,CNY
