open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
31.67,32.19,31.4,32.0,7890100.0,002971.SZ,20260506,和远气体,NA,CNY
31.72,31.88,30.87,31.36,8792800.0,002971.SZ,20260507,和远气体,NA,CNY
31.2,31.58,30.78,31.15,4671200.0,002971.SZ,20260508,和远气体,NA,CNY
31.16,34.27,31.16,34.27,14018700.0,002971.SZ,20260511,和远气体,NA,CNY
34.61,35.4,32.93,33.12,14321600.0,002971.SZ,20260512,和远气体,NA,CNY
33.22,34.89,32.8,34.05,12439200.0,002971.SZ,20260513,和远气体,NA,CNY
35.0,37.46,34.51,37.46,16422500.0,002971.SZ,20260514,和远气体,NA,CNY
36.79,41.21,34.8,41.21,31960900.0,002971.SZ,20260515,和远气体,NA,CNY
41.0,45.33,38.88,40.63,35689900.0,002971.SZ,20260518,和远气体,NA,CNY
37.93,40.54,37.93,38.52,27335400.0,002971.SZ,20260519,和远气体,NA,CNY
39.21,39.7,37.3,37.8,21292300.0,002971.SZ,20260520,和远气体,NA,CNY
37.75,38.04,34.48,34.7,18372300.0,002971.SZ,20260521,和远气体,NA,CNY
34.59,35.03,33.7,33.94,12828400.0,002971.SZ,20260522,和远气体,NA,CNY
33.94,34.0,32.32,32.54,13453900.0,002971.SZ,20260525,和远气体,NA,CNY
32.08,33.22,30.93,31.9,10952700.0,002971.SZ,20260526,和远气体,NA,CNY
31.89,35.09,31.66,35.09,12687900.0,002971.SZ,20260527,和远气体,NA,CNY
35.08,35.08,33.56,33.82,12524600.0,002971.SZ,20260528,和远气体,NA,CNY
34.46,36.38,34.05,34.75,19263400.0,002971.SZ,20260529,和远气体,NA,CNY
34.82,36.14,34.47,34.58,13733900.0,002971.SZ,20260601,和远气体,NA,CNY
34.1,34.86,32.6,34.16,12105300.0,002971.SZ,20260602,和远气体,NA,CNY
33.8,34.5,33.44,33.99,10121700.0,002971.SZ,20260603,和远气体,NA,CNY
34.34,37.39,34.31,37.39,15601600.0,002971.SZ,20260604,和远气体,NA,CNY
38.61,40.69,38.5,39.3,27723600.0,002971.SZ,20260605,和远气体,NA,CNY
38.9,41.17,38.11,39.63,26705500.0,002971.SZ,20260608,和远气体,NA,CNY
40.95,43.59,40.41,43.59,33288600.0,002971.SZ,20260609,和远气体,NA,CNY
47.95,47.95,47.94,47.95,7434200.0,002971.SZ,20260610,和远气体,NA,CNY
52.75,52.75,49.04,52.75,23799100.0,002971.SZ,20260611,和远气体,NA,CNY
55.0,58.03,54.4,58.03,57769000.0,002971.SZ,20260612,和远气体,NA,CNY
55.76,59.9,52.23,56.78,44016400.0,002971.SZ,20260615,和远气体,NA,CNY
56.86,62.4,56.86,59.24,44312800.0,002971.SZ,20260616,和远气体,NA,CNY
56.24,63.38,55.9,61.25,39476400.0,002971.SZ,20260617,和远气体,NA,CNY
60.85,67.38,59.19,67.38,29422300.0,002971.SZ,20260618,和远气体,NA,CNY
71.99,73.25,69.5,72.78,29331500.0,002971.SZ,20260622,和远气体,NA,CNY
70.58,73.99,66.93,73.0,26776400.0,002971.SZ,20260623,和远气体,NA,CNY
72.86,75.72,68.0,71.3,24807500.0,002971.SZ,20260624,和远气体,NA,CNY
69.94,71.9,66.61,69.68,25822300.0,002971.SZ,20260625,和远气体,NA,CNY
71.59,71.88,62.71,66.1,28068700.0,002971.SZ,20260626,和远气体,NA,CNY
67.14,70.99,60.01,68.87,32113200.0,002971.SZ,20260629,和远气体,NA,CNY
65.0,65.43,61.98,62.0,29368500.0,002971.SZ,20260630,和远气体,NA,CNY
63.24,68.2,62.18,68.2,33168200.0,002971.SZ,20260701,和远气体,NA,CNY
68.0,75.02,67.01,75.02,23675700.0,002971.SZ,20260702,和远气体,NA,CNY
73.73,78.88,69.0,71.54,35803500.0,002971.SZ,20260703,和远气体,NA,CNY
69.14,73.03,64.39,64.39,24855200.0,002971.SZ,20260706,和远气体,NA,CNY
61.36,64.51,58.58,60.94,25933400.0,002971.SZ,20260707,和远气体,NA,CNY
60.0,61.58,56.61,57.33,18940100.0,002971.SZ,20260708,和远气体,NA,CNY
59.7,60.66,56.0,58.76,18601400.0,002971.SZ,20260709,和远气体,NA,CNY
58.5,59.3,53.41,53.49,21371500.0,002971.SZ,20260710,和远气体,NA,CNY
53.34,55.9,48.14,48.27,23292600.0,002971.SZ,20260713,和远气体,NA,CNY
48.67,50.38,46.8,49.13,19372000.0,002971.SZ,20260714,和远气体,NA,CNY
49.81,51.0,46.88,47.29,13521900.0,002971.SZ,20260715,和远气体,NA,CNY
46.23,47.5,44.0,44.58,11621400.0,002971.SZ,20260716,和远气体,NA,CNY
44.67,47.27,41.76,42.01,18438800.0,002971.SZ,20260717,和远气体,NA,CNY
42.1,42.33,37.81,37.81,15008800.0,002971.SZ,20260720,和远气体,NA,CNY
37.01,38.44,34.03,37.71,26292700.0,002971.SZ,20260721,和远气体,NA,CNY
36.8,38.36,36.51,37.3,19148300.0,002971.SZ,20260722,和远气体,NA,CNY
37.01,38.12,36.19,37.28,11978300.0,002971.SZ,20260723,和远气体,NA,CNY
36.46,38.97,36.16,37.43,18259500.0,002971.SZ,20260724,和远气体,NA,CNY
28.8,30.17,28.53,29.66,16249700.0,603938.SH,20260506,三孚股份,NA,CNY
30.66,32.63,30.66,32.63,16137800.0,603938.SH,20260507,三孚股份,NA,CNY
33.17,34.68,32.8,33.97,38869500.0,603938.SH,20260508,三孚股份,NA,CNY
35.16,37.37,34.77,35.53,34519100.0,603938.SH,20260511,三孚股份,NA,CNY
35.85,38.66,34.7,38.4,38271800.0,603938.SH,20260512,三孚股份,NA,CNY
37.81,42.24,37.5,42.24,17987700.0,603938.SH,20260513,三孚股份,NA,CNY
44.91,45.0,41.48,42.7,39835200.0,603938.SH,20260514,三孚股份,NA,CNY
43.0,45.28,39.95,40.39,41800200.0,603938.SH,20260515,三孚股份,NA,CNY
41.0,44.43,41.0,44.43,12886900.0,603938.SH,20260518,三孚股份,NA,CNY
45.53,48.87,44.64,48.87,33395600.0,603938.SH,20260519,三孚股份,NA,CNY
50.96,53.76,50.55,53.76,7942600.0,603938.SH,20260520,三孚股份,NA,CNY
56.78,56.78,50.0,50.58,50407700.0,603938.SH,20260521,三孚股份,NA,CNY
51.84,52.4,48.9,49.68,38163700.0,603938.SH,20260522,三孚股份,NA,CNY
49.68,49.68,46.38,47.73,33462800.0,603938.SH,20260525,三孚股份,NA,CNY
46.49,46.8,43.08,43.86,27304900.0,603938.SH,20260526,三孚股份,NA,CNY
44.37,44.8,42.2,42.6,22030800.0,603938.SH,20260527,三孚股份,NA,CNY
43.0,43.43,41.84,42.96,19490400.0,603938.SH,20260528,三孚股份,NA,CNY
42.62,46.77,42.51,45.31,44699500.0,603938.SH,20260529,三孚股份,NA,CNY
44.5,45.78,41.74,41.81,31160500.0,603938.SH,20260601,三孚股份,NA,CNY
42.0,44.04,40.37,43.07,27005000.0,603938.SH,20260602,三孚股份,NA,CNY
43.67,47.38,43.55,47.38,29068100.0,603938.SH,20260603,三孚股份,NA,CNY
49.0,50.67,46.9,48.02,48378800.0,603938.SH,20260604,三孚股份,NA,CNY
46.8,52.82,46.8,52.82,47384000.0,603938.SH,20260605,三孚股份,NA,CNY
50.7,54.47,47.99,52.19,45463300.0,603938.SH,20260608,三孚股份,NA,CNY
54.07,55.35,50.2,54.53,46937700.0,603938.SH,20260609,三孚股份,NA,CNY
52.2,59.98,52.19,59.98,34805000.0,603938.SH,20260610,三孚股份,NA,CNY
62.85,64.78,57.08,58.97,66573000.0,603938.SH,20260611,三孚股份,NA,CNY
58.17,58.89,53.07,53.07,40884300.0,603938.SH,20260612,三孚股份,NA,CNY
53.07,54.77,50.68,54.76,38953700.0,603938.SH,20260615,三孚股份,NA,CNY
53.9,58.88,53.55,57.48,42887800.0,603938.SH,20260616,三孚股份,NA,CNY
56.0,57.38,54.5,55.44,32826500.0,603938.SH,20260617,三孚股份,NA,CNY
55.8,56.49,53.35,53.82,31196600.0,603938.SH,20260618,三孚股份,NA,CNY
55.56,59.2,55.56,59.2,22567900.0,603938.SH,20260622,三孚股份,NA,CNY
64.14,65.12,60.0,65.12,38427100.0,603938.SH,20260623,三孚股份,NA,CNY
66.2,71.63,64.08,71.63,51846200.0,603938.SH,20260624,三孚股份,NA,CNY
74.24,75.0,68.5,69.68,47552500.0,603938.SH,20260625,三孚股份,NA,CNY
69.68,76.65,69.68,75.81,45925500.0,603938.SH,20260626,三孚股份,NA,CNY
76.49,81.82,70.31,74.98,48704400.0,603938.SH,20260629,三孚股份,NA,CNY
73.91,73.97,67.6,71.65,37150400.0,603938.SH,20260630,三孚股份,NA,CNY
70.98,74.36,69.21,73.81,34881200.0,603938.SH,20260701,三孚股份,NA,CNY
68.88,74.47,66.43,69.93,29310400.0,603938.SH,20260702,三孚股份,NA,CNY
67.99,68.97,63.85,64.8,26920100.0,603938.SH,20260703,三孚股份,NA,CNY
66.0,66.66,60.44,60.71,20697200.0,603938.SH,20260706,三孚股份,NA,CNY
60.69,61.45,56.8,57.88,17121000.0,603938.SH,20260707,三孚股份,NA,CNY
57.88,59.19,53.0,53.43,16482100.0,603938.SH,20260708,三孚股份,NA,CNY
54.5,55.92,52.03,55.92,19006700.0,603938.SH,20260709,三孚股份,NA,CNY
56.51,58.99,52.79,52.79,22008400.0,603938.SH,20260710,三孚股份,NA,CNY
51.0,53.55,47.72,48.0,19234900.0,603938.SH,20260713,三孚股份,NA,CNY
48.66,50.5,47.06,50.25,14945100.0,603938.SH,20260714,三孚股份,NA,CNY
51.02,51.56,48.91,49.24,11843200.0,603938.SH,20260715,三孚股份,NA,CNY
48.05,48.77,44.78,45.41,13804300.0,603938.SH,20260716,三孚股份,NA,CNY
45.41,45.68,41.87,42.62,14323500.0,603938.SH,20260717,三孚股份,NA,CNY
45.0,46.88,39.07,40.88,35303800.0,603938.SH,20260720,三孚股份,NA,CNY
41.7,43.15,36.79,43.02,32183700.0,603938.SH,20260721,三孚股份,NA,CNY
41.66,43.79,41.17,41.65,22081300.0,603938.SH,20260722,三孚股份,NA,CNY
42.0,44.02,40.88,41.28,14813600.0,603938.SH,20260723,三孚股份,NA,CNY
40.31,41.6,39.5,40.0,13398400.0,603938.SH,20260724,三孚股份,NA,CNY
19.65,20.66,19.6,20.57,48798900.0,601958.SH,20260506,金钼股份,NA,CNY
20.85,21.26,20.59,20.89,42796300.0,601958.SH,20260507,金钼股份,NA,CNY
20.73,21.06,20.37,20.96,39004000.0,601958.SH,20260508,金钼股份,NA,CNY
21.0,21.33,20.8,21.24,46217500.0,601958.SH,20260511,金钼股份,NA,CNY
21.67,23.06,21.5,22.65,81519900.0,601958.SH,20260512,金钼股份,NA,CNY
22.88,24.0,22.81,23.38,75740500.0,601958.SH,20260513,金钼股份,NA,CNY
23.29,23.29,22.16,22.17,60496300.0,601958.SH,20260514,金钼股份,NA,CNY
21.86,22.12,20.8,21.04,60966400.0,601958.SH,20260515,金钼股份,NA,CNY
20.45,22.09,20.15,21.56,57147100.0,601958.SH,20260518,金钼股份,NA,CNY
21.5,21.53,20.56,20.99,48196400.0,601958.SH,20260519,金钼股份,NA,CNY
20.72,21.35,20.18,21.03,40337400.0,601958.SH,20260520,金钼股份,NA,CNY
21.35,22.5,21.07,21.12,64419400.0,601958.SH,20260521,金钼股份,NA,CNY
21.5,22.0,21.41,21.79,44921700.0,601958.SH,20260522,金钼股份,NA,CNY
21.8,22.27,20.99,21.12,49293300.0,601958.SH,20260525,金钼股份,NA,CNY
21.0,23.23,20.58,23.23,82044200.0,601958.SH,20260526,金钼股份,NA,CNY
23.89,24.8,23.56,24.41,125756800.0,601958.SH,20260527,金钼股份,NA,CNY
23.92,26.85,23.88,26.85,129483200.0,601958.SH,20260528,金钼股份,NA,CNY
26.5,26.5,24.17,24.17,128572500.0,601958.SH,20260529,金钼股份,NA,CNY
23.49,25.2,23.02,23.2,113895300.0,601958.SH,20260601,金钼股份,NA,CNY
23.35,24.93,22.31,24.06,94780200.0,601958.SH,20260602,金钼股份,NA,CNY
23.99,24.88,23.52,23.96,80314200.0,601958.SH,20260603,金钼股份,NA,CNY
23.58,23.95,22.79,23.09,63246900.0,601958.SH,20260604,金钼股份,NA,CNY
23.07,23.38,21.81,21.96,71567000.0,601958.SH,20260605,金钼股份,NA,CNY
21.25,21.95,20.61,20.8,62407900.0,601958.SH,20260608,金钼股份,NA,CNY
21.0,21.35,20.32,20.95,46750800.0,601958.SH,20260609,金钼股份,NA,CNY
20.5,21.38,19.8,21.09,67546200.0,601958.SH,20260610,金钼股份,NA,CNY
21.4,23.2,21.4,23.2,47114700.0,601958.SH,20260611,金钼股份,NA,CNY
25.52,25.52,25.52,25.52,16301000.0,601958.SH,20260612,金钼股份,NA,CNY
27.25,28.07,27.03,28.07,215998500.0,601958.SH,20260615,金钼股份,NA,CNY
28.1,29.76,27.1,28.88,284849300.0,601958.SH,20260616,金钼股份,NA,CNY
28.0,29.0,27.2,28.47,191600800.0,601958.SH,20260617,金钼股份,NA,CNY
28.5,29.23,27.3,27.7,193273200.0,601958.SH,20260618,金钼股份,NA,CNY
28.14,30.47,27.65,30.47,217027600.0,601958.SH,20260622,金钼股份,NA,CNY
31.45,31.61,27.42,27.8,210199400.0,601958.SH,20260623,金钼股份,NA,CNY
27.51,28.26,26.51,27.38,137364400.0,601958.SH,20260624,金钼股份,NA,CNY
27.34,28.15,26.61,26.91,129861500.0,601958.SH,20260625,金钼股份,NA,CNY
26.8,28.43,26.1,27.13,130981100.0,601958.SH,20260626,金钼股份,NA,CNY
27.0,29.56,26.75,29.55,169239000.0,601958.SH,20260629,金钼股份,NA,CNY
28.73,28.75,26.61,28.11,146213800.0,601958.SH,20260630,金钼股份,NA,CNY
27.56,29.31,27.3,28.39,126068400.0,601958.SH,20260701,金钼股份,NA,CNY
27.52,28.5,26.16,26.97,113824000.0,601958.SH,20260702,金钼股份,NA,CNY
27.11,27.29,24.9,25.01,114728300.0,601958.SH,20260703,金钼股份,NA,CNY
25.44,25.47,23.52,23.66,87244800.0,601958.SH,20260706,金钼股份,NA,CNY
23.43,24.09,23.3,23.45,52840000.0,601958.SH,20260707,金钼股份,NA,CNY
23.35,23.49,21.78,21.79,77175300.0,601958.SH,20260708,金钼股份,NA,CNY
22.11,23.15,21.26,23.1,81273800.0,601958.SH,20260709,金钼股份,NA,CNY
